iter	Logloss
0	0.6893827057
1	0.6849674988
2	0.680945816
3	0.6779670715
4	0.6748275757
5	0.6714659119
6	0.66771698
7	0.6642286682
8	0.6601412964
9	0.6568547058
10	0.6533275604
11	0.6510327911
12	0.6481315613
13	0.6450547791
14	0.6426805115
15	0.6400453186
16	0.6371583557
17	0.6342162704
18	0.6319055557
19	0.6286495209
20	0.6258355713
21	0.6236604309
22	0.6209971619
23	0.6181536865
24	0.615740509
25	0.6130449295
26	0.6103912735
27	0.6079105377
28	0.6064118576
29	0.6044291687
30	0.6018106842
31	0.5993532181
32	0.5968058014
33	0.5942604828
34	0.5924217987
35	0.5899552917
36	0.587505188
37	0.5852312088
38	0.5831742096
39	0.581392746
40	0.579213028
41	0.5772634125
42	0.5754235077
43	0.5737336731
44	0.572062645
45	0.5702271271
46	0.5680935669
47	0.5665000153
48	0.5647278595
49	0.5633922577
50	0.5618455505
51	0.5596059418
52	0.558105545
53	0.5570718384
54	0.5553260803
55	0.5538565063
56	0.55264328
57	0.5511587906
58	0.5497072983
59	0.5481954193
60	0.5465007019
61	0.5453476715
62	0.5436187744
63	0.5419473267
64	0.5406076813
65	0.5392508698
66	0.5379060364
67	0.5365241623
68	0.5352543259
69	0.5340138245
70	0.5332347107
71	0.531664505
72	0.5301672363
73	0.5289741898
74	0.5272922516
75	0.5260144806
76	0.5245576859
77	0.5233552551
78	0.5218908691
79	0.5204684448
80	0.519122467
81	0.518060379
82	0.5167839432
83	0.5157086563
84	0.5145051575
85	0.5134093475
86	0.5117605209
87	0.5104376221
88	0.50900177
89	0.5076489258
90	0.506772728
91	0.5055596161
92	0.5043056488
93	0.5030512238
94	0.5021944427
95	0.5005440903
96	0.4997377777
97	0.4981661606
98	0.4972832489
99	0.4961796951
100	0.4952348709
101	0.4940795517
102	0.4933477402
103	0.4923219299
104	0.4912801361
105	0.4904044342
106	0.489645462
107	0.4889535141
108	0.4877663422
109	0.4867284393
110	0.4855109024
111	0.4844202423
112	0.4835829926
113	0.4827436829
114	0.4817702866
115	0.4808640671
116	0.4803637695
117	0.4795238495
118	0.4786611938
119	0.4778320694
120	0.4770254135
121	0.4762304688
122	0.475579071
123	0.4745346069
124	0.473517952
125	0.4727732086
126	0.4721747589
127	0.4712931061
128	0.4706572723
129	0.4694586182
130	0.4687469482
131	0.4677663422
132	0.4673772049
133	0.4665852356
134	0.466452179
135	0.4656255341
136	0.4647883987
137	0.4643251038
138	0.4634916687
139	0.4627571106
140	0.4622105789
141	0.4615130997
142	0.4609397125
143	0.4602823257
144	0.459727478
145	0.4591492081
146	0.4582478333
147	0.4574835968
148	0.4567948914
149	0.4560713196
150	0.4555056
151	0.4548852158
152	0.4540546036
153	0.4532669067
154	0.4526385498
155	0.4518778992
156	0.4511544418
157	0.4505916214
158	0.450124054
159	0.4494722748
160	0.4488553238
161	0.4480771637
162	0.4475522614
163	0.4467243958
164	0.4463791656
165	0.4459125519
166	0.4450518417
167	0.4443909073
168	0.4435510254
169	0.4430495834
170	0.4424703217
171	0.4419598007
172	0.44123703
173	0.4406007385
174	0.4399810791
175	0.4393465424
176	0.4388685608
177	0.4381534576
178	0.4376045227
179	0.4370383453
180	0.4361667633
181	0.4354984283
182	0.4350222397
183	0.4342573547
184	0.4335077667
185	0.4328643799
186	0.4321127319
187	0.431216507
188	0.4304149628
189	0.4302812195
190	0.4296723938
191	0.4291198349
192	0.4285525131
193	0.4279653168
194	0.4274102783
195	0.4273363113
196	0.4267573929
197	0.4262490845
198	0.42583004
199	0.4253635406
200	0.4247587204
201	0.4242913055
202	0.423872261
203	0.4230982208
204	0.4223370361
205	0.4219213867
206	0.4212815094
207	0.4207056427
208	0.420116272
209	0.4195430374
210	0.4190917587
211	0.4185754776
212	0.418114357
213	0.4175457001
214	0.4168999863
215	0.4163445282
216	0.4157524872
217	0.4152814484
218	0.4146326447
219	0.4141824722
220	0.4134912872
221	0.4128812408
222	0.4124214172
223	0.4121215057
224	0.4115698624
225	0.4112492371
226	0.4106543732
227	0.4101626205
228	0.4096728516
229	0.4092390442
230	0.4089149094
231	0.40812397
232	0.4075590897
233	0.4072366714
234	0.4066215134
235	0.4063314819
236	0.4058904266
237	0.4054203033
238	0.4049293518
239	0.4043123245
240	0.4038637924
241	0.4034251022
242	0.4030221176
243	0.4026218414
244	0.4019196701
245	0.4015250015
246	0.4010256195
247	0.4005849075
248	0.4001578522
249	0.3998432159
250	0.3993256378
251	0.3989783478
252	0.3986639786
253	0.3981554794
254	0.3975520325
255	0.3970760345
256	0.3965364075
257	0.3959502411
258	0.395606842
259	0.3950128937
260	0.3944964218
261	0.3940942764
262	0.3937091827
263	0.3934442902
264	0.3930672455
265	0.3928746796
266	0.3925571823
267	0.3919980621
268	0.3915686798
269	0.3910756302
270	0.39066185
271	0.3902510071
272	0.3902085876
273	0.3896949387
274	0.3894020844
275	0.3890589905
276	0.3886550903
277	0.3880051041
278	0.3874464417
279	0.3871007538
280	0.3868449402
281	0.386563797
282	0.386242981
283	0.3858150482
284	0.3855277634
285	0.3850331879
286	0.3844729614
287	0.3839817429
288	0.3833695984
289	0.3830319595
290	0.3826748657
291	0.3820991135
292	0.38152771
293	0.3811275101
294	0.3806916809
295	0.3803079987
296	0.3799282837
297	0.3794047546
298	0.3789876556
299	0.3786858749
300	0.3783318329
301	0.3779681396
302	0.377663765
303	0.3773534393
304	0.3770515442
305	0.3767504883
306	0.3764909363
307	0.3761402893
308	0.375561676
309	0.3752545929
310	0.3749723434
311	0.3744549179
312	0.3741521454
313	0.373784256
314	0.373344574
315	0.3729208374
316	0.3724751663
317	0.3719656372
318	0.3715299225
319	0.3711849213
320	0.3709247589
321	0.3705258942
322	0.3701887512
323	0.3696934509
324	0.3694060135
325	0.3691207886
326	0.3687019348
327	0.3683629227
328	0.367811203
329	0.3674220276
330	0.3671032715
331	0.3665914917
332	0.3663821411
333	0.3660663223
334	0.3656325531
335	0.3651861954
336	0.3647389221
337	0.364487114
338	0.3641395569
339	0.3638028717
340	0.3634888077
341	0.3630107498
342	0.3624613571
343	0.3619715118
344	0.3615312195
345	0.3612200165
346	0.3607321167
347	0.3603229904
348	0.359966507
349	0.3596423721
350	0.3592163849
351	0.3589245224
352	0.3585802078
353	0.3582476044
354	0.3576705933
355	0.3572659302
356	0.3570009613
357	0.3565737152
358	0.3563822174
359	0.3562165833
360	0.3559296799
361	0.3556295395
362	0.3552581406
363	0.3549039078
364	0.3544658279
365	0.3540048218
366	0.3537430573
367	0.353396225
368	0.3529589844
369	0.3524656296
370	0.3520918274
371	0.3516349792
372	0.3513129425
373	0.3509992599
374	0.3506791687
375	0.350182724
376	0.3498148346
377	0.3496448517
378	0.3492673874
379	0.3489686584
380	0.3487644196
381	0.3484192657
382	0.3481023407
383	0.3478362656
384	0.3475151825
385	0.3472955322
386	0.3469065475
387	0.346294899
388	0.3459958649
389	0.3457025146
390	0.3451258087
391	0.3448480988
392	0.3445443344
393	0.344046936
394	0.3436254501
395	0.3432974243
396	0.3430263519
397	0.3427310181
398	0.3422779083
399	0.3417479706
400	0.3414933777
401	0.3412253571
402	0.3409632874
403	0.3405484009
404	0.3402519226
405	0.3399448395
406	0.3396328735
407	0.339328537
408	0.339002037
409	0.3385665131
410	0.3382345581
411	0.3379725647
412	0.3376245117
413	0.3373876953
414	0.3370259857
415	0.3366112137
416	0.336277771
417	0.3359801102
418	0.3357092285
419	0.3355070496
420	0.335025177
421	0.3348240662
422	0.3343431854
423	0.3340626907
424	0.3338116074
425	0.3335579681
426	0.3332492065
427	0.3328136444
428	0.332436142
429	0.3321439743
430	0.3317736816
431	0.3314876556
432	0.331244545
433	0.3310183716
434	0.3306646729
435	0.3303989792
436	0.3300358582
437	0.3297468948
438	0.3293800354
439	0.3290978241
440	0.3289142227
441	0.3286051178
442	0.3283237076
443	0.3280593109
444	0.3278320312
445	0.3275561523
446	0.3271856689
447	0.3269963455
448	0.3268332672
449	0.326573143
450	0.3262456131
451	0.325877533
452	0.3256822205
453	0.3254339981
454	0.3251239777
455	0.3248939514
456	0.3244865799
457	0.3240048218
458	0.3237754822
459	0.3235902405
460	0.3232376862
461	0.3229598618
462	0.322544632
463	0.3223732758
464	0.3220154572
465	0.3216958618
466	0.3214199829
467	0.3209911346
468	0.3208461761
469	0.32051651
470	0.3202257538
471	0.3199508286
472	0.3196635056
473	0.3194996262
474	0.3191656494
475	0.3188274384
476	0.3185382843
477	0.3182374954
478	0.3179741859
479	0.317679081
480	0.3173538971
481	0.317005043
482	0.3167152405
483	0.3163391113
484	0.3160150528
485	0.3156273842
486	0.315364666
487	0.3151237488
488	0.3147722435
489	0.3144963264
490	0.314218502
491	0.3139484406
492	0.3134693718
493	0.3130625916
494	0.3127632904
495	0.3124006653
496	0.3121118546
497	0.3117354965
498	0.3114292908
499	0.3110006332
500	0.3107507324
501	0.3105311584
502	0.3103195572
503	0.3098775101
504	0.3096630669
505	0.3095180321
506	0.3090946388
507	0.308732357
508	0.3083763695
509	0.3081271744
510	0.3077838898
511	0.307429142
512	0.3072612762
513	0.3071242714
514	0.3067806435
515	0.306594677
516	0.306355896
517	0.3061063004
518	0.3057365036
519	0.3055407906
520	0.305183754
521	0.3048710632
522	0.304543457
523	0.3042541122
524	0.3039909935
525	0.3036248779
526	0.3033901215
527	0.3031062698
528	0.3028679848
529	0.3025600243
530	0.3021640587
531	0.3019533157
532	0.3015889549
533	0.3012942886
534	0.3011269379
535	0.3007631683
536	0.3003477669
537	0.3001862907
538	0.2997900963
539	0.2995942688
540	0.2992691612
541	0.2990990448
542	0.2988518906
543	0.2985066605
544	0.2983025932
545	0.2980263901
546	0.2977712059
547	0.2974749756
548	0.2971918106
549	0.2969137192
550	0.296664505
551	0.2964206696
552	0.2961245728
553	0.2958001328
554	0.2955725098
555	0.2953669739
556	0.2951514626
557	0.2949857521
558	0.2948180389
559	0.2947030258
560	0.294408474
561	0.2942674255
562	0.2940991211
563	0.2940439415
564	0.2937802124
565	0.2934552574
566	0.2930329132
567	0.292789669
568	0.2924404526
569	0.2922047234
570	0.2919735718
571	0.2917611313
572	0.2915029716
573	0.2911354828
574	0.2908889389
575	0.2906443596
576	0.290383625
577	0.2900919342
578	0.2899271202
579	0.2896535873
580	0.2892996025
581	0.2890989304
582	0.2888920784
583	0.2885183716
584	0.2883246613
585	0.2879827499
586	0.287849617
587	0.2876039314
588	0.2874639702
589	0.2872691345
590	0.2869268417
591	0.286747036
592	0.2864059639
593	0.286198597
594	0.2861305809
595	0.2858518219
596	0.2854509735
597	0.2852120972
598	0.2850507736
599	0.284770298
600	0.2845234299
601	0.2842291641
602	0.2840672493
603	0.2837739944
604	0.2834081078
605	0.283232193
606	0.2828766632
607	0.2825764084
608	0.2823082542
609	0.2820630074
610	0.2818540382
611	0.2816774368
612	0.2813941765
613	0.2812003899
614	0.2807824707
615	0.2804898071
616	0.2802541161
617	0.2799997902
618	0.2797994423
619	0.2796411133
620	0.2794009781
621	0.2791466904
622	0.2788611221
623	0.2786372948
624	0.278400631
625	0.2781860733
626	0.277948494
627	0.2777679253
628	0.277479763
629	0.2770985222
630	0.2769133759
631	0.2766465378
632	0.2764115906
633	0.2761758804
634	0.2758128738
635	0.2755970764
636	0.2753015709
637	0.2750218391
638	0.2748842621
639	0.27462677
640	0.27432621
641	0.2740141678
642	0.2737626648
643	0.2735932922
644	0.2733959961
645	0.2731372452
646	0.2728431892
647	0.2724254608
648	0.2722715378
